nom_commune,codes_postaux,code_insee,latitude,longitude
Roucy,2160,2656,49.366667,3.816667
Rouvroy-sur-Serre,2360,2660,49.716667,4.166667
Royaucourt-et-Chailvet,2000,2661,49.516667,3.533333
Rozoy-sur-Serre,2360,2666,49.716667,4.133333
Sainte-Croix,2820,2675,49.483333,3.783333
Sainte-Preuve,2350,2690,49.616667,3.916667
Saint-Erme-Outre-et-Ramecourt,2820,2676,49.516667,3.85
Saint-Gobain,2410,2680,49.6,3.383333
Saint-Nicolas-aux-Bois,2410,2685,49.6,3.416667
Saint-Thomas,2820,2696,49.5,3.816667
Samoussy,2840,2697,49.583333,3.733333
Servais,2700,2716,49.616667,3.35
Sissonne,2150,2720,49.566667,3.9
Soize,2340,2723,49.7,4.083333
Suzy,2320,2733,49.55,3.466667
Travecy,2800,2746,49.683333,3.35
Trucy,2860,2751,49.466667,3.616667
Urcel,2000,2755,49.5,3.55
Variscourt,2190,2761,49.416667,3.983333
Vassogne,2160,2764,49.416667,3.733333
Vaucelles-et-Beffecourt,2000,2765,49.533333,3.55
Vauxaillon,2320,2768,49.483333,3.4
Vendresse-Beaulne,2160,2778,49.433333,3.666667
Verneuil-sur-Serre,2000,2787,49.65,3.666667
Versigny,2800,2788,49.65,3.433333
Veslud,2840,2791,49.533333,3.733333
Vigneux-Hocquet,2340,2801,49.733333,3.983333
Vincy-Reuil-et-Magny,2340,2819,49.716667,4.05
Vivaise,2870,2821,49.616667,3.566667
Vorges,2860,2824,49.516667,3.65
Wissignicourt,2320,2834,49.533333,3.433333
Afa,20167,20001,41.983333,8.8
Ajaccio,20000,20004,41.916667,8.733333
Alata,20167,20006,41.95,8.75
Ambiegna,20151,20014,42.083333,8.783333
Appietto,20167,20017,42,8.766667
Arbori,20160,20019,42.133333,8.8
Arro,20151,20022,42.083333,8.816667
Azzana,20121,20027,42.116667,8.916667
Balogna,20160,20028,42.166667,8.783333
